Cancer	Morbidity	Cohort	Positive	OR	Lower_CI	Upper_CI	pvalue
Respiratory	Chronic ulcer of skin	149|54634	8|506	1.602424828788315	1.0923786868094556	2.3506183001583567	0.01586642
Solid	Atrial fibrillation and flutter	2312|54634	58|316	1.2087817086053292	1.0361278628903219	1.410205507824943	0.01589421
Digestive	Hyperprolactinaemia and prolactinoma	534|54634	4|192	1.9992437818826179	1.1374030529101717	3.5141242932042496	0.01606621
Endocrine	Learning disability	164|54634	3|264	2.2510415044903667	1.161541450924919	4.362468382771294	0.01623459
Respiratory	Asthma	149|54634	39|6057	1.2655616300813002	1.0443806643215308	1.533584730405295	0.01625787
Colorectal	Migraine	241|54634	25|4017	1.3107545975023482	1.0511547901760985	1.634466808247828	0.01625966
Digestive	Nephritides	534|54634	15|332	1.4114788718219802	1.065337616795946	1.8700856650417594	0.01635365
Respiratory	Obesity	149|54634	28|5337	1.3042823941634003	1.0495685342952719	1.6208113221180387	0.01655577
Solid	Interstitial pulmonary diseases with fibrosis	2312|54634	15|66	1.4456108994373629	1.0687860161257803	1.9552939887325056	0.01676908
Secondary	Schizophrenia and psychosis	479|54634	13|616	1.4306988053800893	1.0660509498948125	1.920076213916401	0.01702753
Digestive	Bone and joint infections	534|54634	7|173	1.648896044417666	1.0932755481178782	2.4868919550765205	0.0170628
Lung	Urinary calculus	130|54634	13|1373	1.4422378935809625	1.0671682873647255	1.94913039143746	0.01717025
Bladder	Irritable bowel syndrome	163|54634	12|1690	1.4511233781132298	1.0678266770909939	1.9720045431373985	0.01734221
All	Psoriatic arthropathy	2782|54634	11|78	1.4976017570734237	1.0737181806243177	2.088826531264763	0.01736072
Gynaecological	Heart failure	361|30319	11|225	1.486524730428347	1.0722591737654175	2.0608410990928085	0.01737851
Lung	Hypertrophy of nasal turbinates	130|54634	6|1009	1.710098549259732	1.0984140426157318	2.6624177538882057	0.01752066
Thyroid	Non-diabetic peripheral neuropathies	121|54634	5|691	1.8111137725834103	1.109427370745532	2.9566001197870873	0.01753517
Bladder	Eating disorders	163|54634	5|464	1.8103333507404151	1.1091992959250017	2.954660044270902	0.0175651
Lymphoma	Non-spinal osteoarthritis	193|54634	38|4019	1.286374761796665	1.0441689229879956	1.5847627633392523	0.01797694
Respiratory	Osteoporosis	149|54634	8|323	1.598748283085846	1.0837885723106113	2.3583899461318523	0.0179973
Cervical	Hip fracture	137|30319	1|21	4.896496747850016	1.3127153260887692	18.264188682203656	0.01802409
Skin	Psoriasis	159|54634	9|1162	1.525510335031176	1.0742073921443123	2.166417583146077	0.01827424
Urinary	Bipolar disorder	212|54634	4|235	1.97990526974743	1.1227135415472542	3.491562836029667	0.01827951
Secondary	Macular degeneration	479|54634	11|110	1.5016147063067073	1.0712782910899645	2.1048188364784286	0.01829285
Digestive	Learning disability	534|54634	4|264	1.9558854372807988	1.120026515970034	3.4155332835615217	0.01834794
Thyroid	Urinary calculus	121|54634	7|1373	1.6223731747873171	1.0850770084459493	2.425721582691327	0.01838037
Haematopoietic	Respiratory failure	515|54634	8|169	1.5855034643272066	1.0803053795392255	2.326954288115991	0.01854166
Solid	Type 1 Diabetes	2312|54634	52|422	1.2046631689197564	1.0315184046728536	1.406871020408058	0.01867414
Digestive	Autonomic neuropathy	534|54634	5|87	1.816894999668683	1.1039439316319946	2.9902854168879154	0.01882323
Secondary	Peptic ulcer	479|54634	41|1199	1.2331402935641946	1.0349386566255119	1.4692996284144246	0.01907076
Bladder	Fatty liver disease	163|54634	17|2125	1.3678087407050816	1.0526542166775754	1.777317490879602	0.01907576
All	Ischemic stroke	2782|54634	68|350	1.1858905365692636	1.028022896865093	1.3680010134142846	0.01932554
All	Urticaria	2782|54634	172|2573	1.105634081716328	1.0163747158766117	1.2027323225946038	0.019378
Ovarian	Dysmenorrhoea	117|30319	12|1786	1.4508592976904606	1.0619161872728404	1.9822587949250425	0.01942379
Thyroid	Migraine	121|54634	18|4017	1.363933766557529	1.051356336892122	1.7694431985401085	0.01943299
All	Chronic fatigue	2782|54634	111|1308	1.133676623300062	1.0204404869226449	1.259478335765462	0.01944597
Lymphoma	Liver fibrosis, sclerosis and cirrhosis	193|54634	3|131	2.1906887673036723	1.1340387320849323	4.231881274784414	0.01957304
All	Diabetic eye	2782|54634	396|3243	1.0774076158827643	1.012021994171343	1.1470177302941587	0.01958949
Skin	Tinnitus	159|54634	10|1052	1.4936368725918372	1.0660358973616713	2.09275420526391	0.01972043
Colorectal	Fatty liver disease	241|54634	26|2125	1.2965436590805153	1.0421700022753408	1.6130050339500803	0.01976967
Haematopoietic	Chronic ulcer of skin	515|54634	15|506	1.393861565474607	1.0539972489379845	1.8433160671576252	0.01986961
Respiratory	Atrial fibrillation and flutter	149|54634	10|316	1.5130038811431687	1.0676940185455515	2.1440419301708653	0.01989717
Ovarian	Dementia	117|30319	3|54	2.272189717969102	1.1378966564213706	4.537183658383709	0.02001213
Breast	Gastrointestinal polyp	428|30319	23|504	1.3063108246862392	1.042846506708106	1.6363366609714107	0.02006865
Respiratory	Cardiac conduction defects	149|54634	11|366	1.4829124119265955	1.0636659235596138	2.067405914525104	0.02012222
Solid	Adrenal insufficiency	2312|54634	6|31	1.7429045445383746	1.0906351140574575	2.7852727389927816	0.02019334
Lymphoma	Subdural haematoma	193|54634	2|48	2.7206749692956196	1.168567874297488	6.334310955623053	0.0202711
Breast	Thrombocytopenia	428|30319	6|147	1.6793536714219839	1.083934980359136	2.6018431038954764	0.02029651
All	Atrial fibrillation and flutter	2782|54634	67|316	1.1878524346882822	1.027002778093783	1.3738944399097157	0.02039908
Lymphoma	Chronic fatigue	193|54634	10|1308	1.4826143764853634	1.0625021018221168	2.068838626852048	0.02052293
Endocrine	Eyelid ptosis	164|54634	2|103	2.682260743680768	1.1636627806609319	6.182652583426783	0.02057185
Solid	Thalassaemia	2312|54634	22|263	1.3157423091324858	1.0430476703419171	1.6597303011796147	0.02057606
All	Retinal vascular occlusions	2782|54634	20|85	1.359842657445196	1.0480405102809438	1.7644089468563697	0.020716
Cervical	Cholelithiasis	137|30319	11|1256	1.4624863986320809	1.059667479155209	2.018431732838481	0.02074622
Lung	Constipation	130|54634	44|7662	1.2554034562448728	1.034594646385854	1.5233384818461415	0.02118974
Endocrine	Cardiovascular disease	164|54634	23|4464	1.3492474600168478	1.0454025640591904	1.7414044799098471	0.02138671
Skin	Anxiety and phobia	159|54634	25|5138	1.2955210895902123	1.0388283795659048	1.6156421277924207	0.02155543
All	Cardiac conduction defects	2782|54634	71|366	1.179028742536727	1.0245236737056274	1.356834216138524	0.02155796
Digestive	Glaucoma	534|54634	25|449	1.2915447724913685	1.0383166956584244	1.6065309421727074	0.02157919
Bladder	Seborrheic dermatitis	163|54634	13|2622	1.4132655224130803	1.0518067923642582	1.898941375299478	0.02172497
Respiratory	Cerebrovascular disease	149|54634	16|692	1.3888985181277742	1.0488845645164662	1.8391338369506949	0.02183863
Non-Melanoma Skin	Autonomic neuropathy	129|54634	2|87	2.656363281674876	1.151928437363538	6.125611327367226	0.02191782
All	Subdural haematoma	2782|54634	10|48	1.5413844406293207	1.0642208764244674	2.23249331642179	0.02205992
Breast	Urticaria	428|30319	41|1812	1.2176868080809724	1.028736003942053	1.4413427321417522	0.02206186
Colorectal	Alllergic and chronic rhinitis	241|54634	69|11166	1.186169253593325	1.0248283672661298	1.3729103751523823	0.02209189
Haematopoietic	Chronic kidney disease	515|54634	4|68	1.9512398674826148	1.100329763634482	3.460178163205925	0.0221886
Haematopoietic	Portal hypertension	515|54634	4|68	1.9512398674826148	1.100329763634482	3.460178163205925	0.0221886
Breast	Hypertension	428|30319	162|4567	1.143855987521767	1.01938922405723	1.2835200621229457	0.02221187
Non-Melanoma Skin	Irritable bowel syndrome	129|54634	10|1690	1.478742404700414	1.0573579323689963	2.068059483471162	0.02225959
Gynaecological	Rheumatic valve disorder	361|30319	3|47	2.1413618390030407	1.1144709410799405	4.114446017852318	0.02229693
Digestive	Hearing loss	534|54634	61|2216	1.1822625289112871	1.0238123603696831	1.3652352143541302	0.02257529
Cervical	Nasal polyp	137|30319	4|278	1.8857582600715048	1.093225477244406	3.252836939358024	0.02258193
Colorectal	Vitiligo	241|54634	6|461	1.6748858270523348	1.074694333266956	2.6102701454962967	0.02271456
Haematopoietic	COPD	515|54634	29|662	1.287279401197701	1.0358718507510065	1.5997039166056333	0.02273185
Haematopoietic	Interstitial pulmonary diseases with fibrosis	515|54634	5|66	1.8389191857765321	1.088690937802346	3.106137522043896	0.02274297
Urinary	Psychoactive substance misuse	212|54634	30|2298	1.280275129812322	1.0348091773406836	1.5839677922341489	0.0229012
Haematopoietic	Lupus erythematosus	515|54634	4|117	1.965520311818249	1.0979608865467771	3.518586266147028	0.02293222
Lymphoma	Vitamin B12 deficiency	193|54634	17|1908	1.358097739949799	1.0429869667339955	1.7684108527572402	0.02305705
Lymphoma	Pulmonary hypertension	193|54634	2|60	2.622360850463153	1.1416654986896573	6.0234599696098625	0.02307056
Kidney	Urticaria	182|54634	14|2573	1.3919310115277932	1.0464794648325308	1.8514189775934502	0.02307686
Skin	Enthesopathies	159|54634	42|7084	1.2456294693292993	1.0306189746419778	1.505496030092589	0.02308822
Skin	Gastrointestinal polyp	159|54634	12|1066	1.4384282148735816	1.0505378173119675	1.9695395018130666	0.02336002
Digestive	Epilepsy	534|54634	10|418	1.4750752419761581	1.0539938761521843	2.064382933072046	0.02341205
Thyroid	Hypertrophy of nasal turbinates	121|54634	5|1009	1.7337782731039586	1.0756713733621857	2.7945217979461923	0.02385179
Colorectal	Somatoform and dissociative disorders	241|54634	22|2700	1.3054998574954835	1.0359143223675495	1.6452421219792925	0.02388363
Digestive	Non-acute cystitis	534|54634	5|103	1.758517280984164	1.0771367465669444	2.8709289116502585	0.02400033
Secondary	Type 2 Diabetes	479|54634	211|8982	1.1258125031504285	1.015683198466823	1.247882995566983	0.0240533
Solid	Post-traumatic stress disorders	2312|54634	169|2948	1.1023803539990107	1.012840974252619	1.1998353895385387	0.02412021
Kidney	Depression	182|54634	43|7686	1.2264060724420804	1.0269883426441866	1.4645461803882567	0.02418798
Digestive	Barretts oesophagus	534|54634	5|57	1.7658461842459383	1.0769930661086518	2.8952950994220807	0.02419497
Digestive	Tinnitus	534|54634	33|1052	1.2429281411041746	1.028691357768311	1.5017821937380615	0.02425501
Endocrine	Seborrheic dermatitis	164|54634	15|2622	1.3709706601185232	1.0417045063953365	1.8043125851588748	0.0243493
Breast	Psychoactive substance misuse	428|30319	19|716	1.3214571113312747	1.0363945592191717	1.6849267313827228	0.0245536
Haematopoietic	Anxiety and phobia	515|54634	66|5138	1.169251733269588	1.020169685710665	1.3401198201665436	0.024643
Breast	Visual impairment	428|30319	16|363	1.3578546622104548	1.0397389582870205	1.7733001817343608	0.02469552
Urinary	Urinary calculus	212|54634	17|1373	1.3493823915093117	1.038516196225405	1.7533023029716777	0.02490445
Gynaecological	Respiratory failure	361|30319	5|95	1.7300771449982328	1.0709521579289256	2.7948652098835214	0.02508273
Lymphoma	Learning disability	193|54634	3|264	2.0825539477386763	1.095865081360685	3.9576322113091273	0.02512593
Solid	Tinnitus	2312|54634	102|1052	1.135561224899703	1.015768962314096	1.2694808990402826	0.02541269
Non-Melanoma Skin	Folate deficiency	129|54634	9|1450	1.4957877632461647	1.050587235773207	2.1296480258779327	0.02549816
Skin	Chronic kidney disease	159|54634	2|68	2.558870627452772	1.120945762747205	5.841334260449142	0.02567341
Skin	Portal hypertension	159|54634	2|68	2.558870627452772	1.120945762747205	5.841334260449142	0.02567341
Uterine	Lupus erythematosus	102|30319	2|97	2.5543173347759796	1.1203139068378953	5.823847233274715	0.02573562
Digestive	Congenital cardiac disease	534|54634	8|245	1.5306385480438345	1.051992557846399	2.227063630140069	0.02608641
Gynaecological	Female infertility	361|30319	29|1616	1.2511836208871006	1.0267118119200458	1.5247320961941602	0.02633045
Respiratory	Chronic sinusitis	149|54634	29|6315	1.2679811627128605	1.0281336825814864	1.5637813022113793	0.0264626
Colorectal	Non-acute cystitis	241|54634	3|103	2.115463632375574	1.0904261683872383	4.104070967521394	0.02668898
Digestive	Psoriatic arthropathy	534|54634	4|78	1.8651621630260569	1.0740509989337181	3.2389801767678668	0.02684983
Secondary	Non-acute cystitis	479|54634	5|103	1.7379252209552825	1.0649806180694892	2.836092997736969	0.02696936
Lung	Folate deficiency	130|54634	11|1450	1.4488179252627473	1.0423581934803425	2.013773570056594	0.02731773
Non-Melanoma Skin	Tinnitus	129|54634	9|1052	1.489657160712116	1.044216245795912	2.1251138980024957	0.02789952
Lymphoma	Liver failure and transplant	193|54634	2|84	2.489313575544781	1.1026854469012766	5.619628058758927	0.02814282
Respiratory	Non-malignant CNS tumour	149|54634	2|89	2.5038886915664467	1.10237118223262	5.687248252495923	0.02831797
Haematopoietic	Intracerebral haemorrhage	515|54634	3|45	2.096895672819475	1.081747468575061	4.064693091892306	0.0283298
Skin	Autonomic neuropathy	159|54634	2|87	2.495105467866402	1.1013845167969774	5.652477586921078	0.02841895
Lymphoma	Tuberculosis	193|54634	12|1380	1.407411216248185	1.0363590736769799	1.9113127698041348	0.02861681
Kidney	Urinary Incontinence	182|54634	15|1844	1.3713984696993042	1.0335192024640236	1.8197376093348991	0.02863732
Urinary	Cardiovascular disease	212|54634	64|4464	1.2078778779620944	1.0191766872532186	1.4315172102319935	0.0293187
Respiratory	Tinnitus	149|54634	13|1052	1.4006368135190606	1.0344560365427105	1.89643968818759	0.02932488
Endocrine	Obstructive and reflux uropathy	164|54634	4|459	1.8092691876247964	1.0610220481996953	3.085190358525323	0.02944059
Colorectal	Obstructive and reflux uropathy	241|54634	7|459	1.575495774175632	1.0459525904521454	2.3731352234351952	0.02963273
Secondary	Intervertebral disc disorders	479|54634	43|1731	1.2040224585579586	1.0184879077423932	1.4233552207068694	0.02966342
Digestive	COPD	534|54634	39|662	1.223812517033746	1.0201056577898564	1.468197990484046	0.02968267
Lung	Cerebrovascular disease	130|54634	15|692	1.38018562362961	1.0321237782171235	1.8456239415047435	0.02976107
Bladder	Sleep apnoea	163|54634	8|621	1.5069338145493834	1.039668591135575	2.184205179221608	0.03035529
Skin	Cerebrovascular disease	159|54634	10|692	1.4637856633422202	1.036590166057268	2.0670353032153383	0.03045578
Lung	Hyperparathyroidism	130|54634	2|74	2.5137659319347354	1.0896149315305819	5.799314030764414	0.03067782
All	Female infertility	1573|30319	100|1616	1.1254590535189355	1.0108175713622785	1.2531025548365402	0.03106086
All	Non-acute cystitis	2782|54634	15|103	1.3743089184406727	1.0293337620564995	1.8349004695348765	0.03107938
Haematopoietic	Barretts oesophagus	515|54634	4|57	1.8374743631861736	1.0546141442695809	3.2014666726330008	0.03173637
Ovarian	Constipation	117|30319	32|5145	1.2612080102991627	1.0201833030265117	1.5591763171617372	0.03198037
Bladder	Type 1 Diabetes	163|54634	7|422	1.542247857650275	1.0378410479276905	2.291804182515415	0.03204984
Kidney	Learning disability	182|54634	2|264	2.4128678034520306	1.0784285335733843	5.398532082273823	0.03205177
All	Adrenal insufficiency	2782|54634	6|31	1.6386291366553118	1.041882778122965	2.577166552587772	0.03255014
Non-Melanoma Skin	Depression	129|54634	32|7686	1.2536571503446658	1.0184975182396327	1.5431124990139917	0.03292942
Solid	Retinal detachments	2312|54634	27|181	1.2679304444807233	1.0189807673303426	1.5777016245880748	0.03328693
Solid	Cerebrovascular disease	2312|54634	97|692	1.1361689126970154	1.0101535772733439	1.2779044961297115	0.03330134
Thyroid	Aplastic anaemias	121|54634	1|45	3.779115547082231	1.110116006251583	12.865064765998879	0.03340796
Lymphoma	Enthesopathies	193|54634	43|7084	1.2192781459697806	1.0155516516356446	1.4638735458163343	0.03354992
Non-Melanoma Skin	Adrenal insufficiency	129|54634	1|31	3.7872872589355686	1.1082877314091528	12.94207666041591	0.03367059
Respiratory	Ischemic stroke	149|54634	10|350	1.4595526723905219	1.0296234573353564	2.069002981920662	0.03367214
Haematopoietic	Learning disability	515|54634	5|264	1.667374110490571	1.0402247962119606	2.6726304107133885	0.0336841
Bladder	Bipolar disorder	163|54634	3|235	1.974112637657179	1.0529234358347588	3.7012384505129208	0.03393776
All	Non-diabetic peripheral neuropathies	2782|54634	88|691	1.138947966582882	1.0098925186376384	1.284495574175784	0.03396967
Gynaecological	Constipation	361|30319	82|5145	1.1479032300926209	1.0103269264182133	1.3042133107631673	0.03419734
Ovarian	Personality disorder	117|30319	5|470	1.6662206867367582	1.0387394181128626	2.6727505748779246	0.03420483
Kidney	Cardiovascular disease	182|54634	56|4464	1.2132867507445066	1.0144547621367908	1.4510895847454919	0.03424679
All	Tinnitus	2782|54634	115|1052	1.120879897909314	1.0084713807774535	1.2458179473260098	0.0343066
Gynaecological	Peripheral arterial disease	361|30319	5|100	1.6564189283056343	1.0368737329783324	2.6461502290814827	0.03472948
Kidney	Unspecified or rare diabetes	182|54634	70|7919	1.1918169602322997	1.0126341246343393	1.4027057079577219	0.03476943
Bladder	Peptic ulcer	163|54634	16|1199	1.3462931486926242	1.02130301733122	1.7746988028616428	0.03489826
Respiratory	Hyperparathyroidism	149|54634	2|74	2.42846167176377	1.0645714459409454	5.539718460148169	0.03496933
All	Polymyalgia rheumatica	2782|54634	19|71	1.3462016038710722	1.0211415008190616	1.7747381306228645	0.03499831
Endocrine	Adrenal insufficiency	164|54634	1|31	3.70454335448183	1.0952245382395385	12.530436441183866	0.03517843
Digestive	Bipolar disorder	534|54634	7|235	1.5276490728465681	1.0298581970533072	2.2660514781999472	0.03518342
Non-Melanoma Skin	Cardiovascular disease	129|54634	36|4464	1.271101693972601	1.0166437086088225	1.5892485270291423	0.03530639
Bladder	Folate deficiency	163|54634	10|1450	1.4336462153661578	1.0250742407833706	2.00506596406422	0.03531771
Bladder	Parkinsons disease	163|54634	2|34	2.370663799243958	1.059802277431546	5.302920147205292	0.03560543
Lymphoma	Type 2 Diabetes	193|54634	62|8982	1.212628114874674	1.013012774753538	1.4515778888793036	0.03565029
Haematopoietic	Non-diabetic peripheral neuropathies	515|54634	19|691	1.3065995512816084	1.017882002184534	1.6772105054862716	0.03580647
Solid	Ischemic stroke	2312|54634	57|350	1.1790994863835733	1.010647998701866	1.3756279145417158	0.03620041
Colorectal	Type 2 Diabetes	241|54634	109|8982	1.1661538196207109	1.0099055382559128	1.3465761692568985	0.03623318
Solid	Epilepsy	2312|54634	30|418	1.2357363163627668	1.013541101390187	1.5066426427929809	0.03634959
Cervical	Interstitial pulmonary diseases with fibrosis	137|30319	1|30	3.6556356846209703	1.0850017067145634	12.316729251182528	0.03647041
Haematopoietic	Somatoform and dissociative disorders	515|54634	34|2700	1.21951226984898	1.0124261590441779	1.4689566868918844	0.03661237
Solid	Congenital cardiac disease	2312|54634	22|245	1.28771199974899	1.0158011383213472	1.6324082851863995	0.03665758
Prostate	Urinary Incontinence	196|24315	12|258	1.4012336119106519	1.0208990289276991	1.9232613407522647	0.03679662
Solid	Cardiac conduction defects	2312|54634	59|366	1.1749927765967596	1.0097360176226766	1.3672960070346576	0.03704286
Cervical	Vitamin B12 deficiency	137|30319	1|1292	0.4946583285974787	0.25514804848558387	0.9589995436107609	0.03716487
Lung	Liver failure and transplant	130|54634	2|84	2.3691968124314857	1.0524871526588557	5.333170596767268	0.03719892
Non-Melanoma Skin	Iron deficiency	129|54634	24|5670	1.285567172055977	1.014968238615792	1.6283100209341739	0.0372316
Colorectal	Non-spinal osteoarthritis	241|54634	65|4019	1.1908900872375856	1.0103743401527234	1.403657182808476	0.03724542
Skin	Depression	159|54634	36|7686	1.228602076645743	1.0121203674900425	1.4913869053752473	0.03735854
Lymphoma	Autonomic neuropathy	193|54634	2|87	2.32863905416115	1.0497971132260708	5.165340784659599	0.0375662
Lymphoma	Coeliac disease	193|54634	2|106	2.324974334375244	1.049528483524177	5.150413486018636	0.03760573
Solid	Psoriatic arthropathy	2312|54634	9|78	1.4737394290215697	1.0221720254755386	2.1247968546609353	0.03775725
Gynaecological	Schizophrenia and psychosis	361|30319	9|317	1.447023951449621	1.0210273435807784	2.0507563575384484	0.03780455
Digestive	Neuromuscular bladder dysfunction	534|54634	16|477	1.3296849041604593	1.0160496336695226	1.7401334401024784	0.03789378
Uterine	Non-malignant CNS tumour	102|30319	2|65	2.3230314680629798	1.047928208277111	5.149661168567204	0.03796223
Skin	Iron deficiency	159|54634	27|5670	1.2639579149046534	1.0129967733301275	1.5770924969466584	0.03804607
Secondary	Osteoporosis	479|54634	20|323	1.3033345254548672	1.0142961868479372	1.6747385105740609	0.03836256
Ovarian	Intracerebral haemorrhage	117|30319	1|15	3.701395830517712	1.0725563165015382	12.773530753948297	0.03837468
Skin	Adrenal insufficiency	159|54634	1|31	3.57662636510494	1.0680839688861639	11.976826287266531	0.03875043
Solid	Urticaria	2312|54634	145|2573	1.1009579891291874	1.0048479856392647	1.206260559955508	0.03903935
Thyroid	Hip fracture	121|54634	1|55	3.540790474146708	1.06455241157366	11.776965648196814	0.03920592
Lung	Cardiac conduction defects	130|54634	10|366	0.0005625109260418182	4.554960463893927e-07	0.6946680315330886	0.03936906
Thyroid	Learning disability	121|54634	2|264	2.28655884585605	1.0409823555817557	5.022516786694884	0.03939411
Haematopoietic	Female genital prolapse	236|30319	17|884	1.3265120783738498	1.0137861241574737	1.7357056406094413	0.03941637
Uterine	Liver fibrosis, sclerosis and cirrhosis	102|30319	2|67	2.295656823111408	1.0398608228340547	5.068024618078123	0.03971145
Solid	Retinal vascular occlusions	2312|54634	17|85	1.3415625275868952	1.0136274182257001	1.7755932634258986	0.03991301
Non-Melanoma Skin	Anxiety and phobia	129|54634	21|5138	1.2894580321784743	1.0117740953419865	1.643353021592808	0.03991755
Non-Melanoma Skin	Cervical dysplasia	59|30319	2|196	2.2863965059411293	1.03861780962089	5.033236416664138	0.03996417
Non-Melanoma Skin	Polycystic ovarian syndrome	59|30319	2|196	2.2863965059411293	1.03861780962089	5.033236416664138	0.03996417
Digestive	Peripheral venous and lymphatic disease	534|54634	39|1570	1.2004290085157763	1.0083898350448197	1.4290403913305223	0.03998201
All	Peripheral venous and lymphatic disease	2782|54634	153|1570	1.0997252765268588	1.0043427746332418	1.2041662611389958	0.04001297
Haematopoietic	Autonomic neuropathy	515|54634	4|87	1.8242719939042742	1.026648157761006	3.2415860122920472	0.04039704
Secondary	Dysmenorrhoea	281|30319	22|1786	1.2729855902622382	1.010607343171925	1.6034836120714988	0.04040261
Haematopoietic	Gout	515|54634	18|571	1.3148544827489355	1.0119109774000978	1.7084924953051541	0.04049948
Haematopoietic	Urticaria	515|54634	33|2573	1.2230038442557836	1.008698033966279	1.4828406051145608	0.04054962
Male genital	Gastrointestinal polyp	222|24315	23|562	1.2775765972414583	1.010547395722387	1.6151661651181524	0.04058892
Colorectal	Nephritides	241|54634	7|332	1.5318528258099344	1.018149292371348	2.3047436142459343	0.04072672
All	Cerebrovascular disease	2782|54634	112|692	1.1221393530863868	1.0046292018018692	1.2533945116135201	0.0411677
Breast	Urinary Incontinence	428|30319	52|1586	1.1730274840974995	1.0063602490276575	1.367297128217843	0.04124152
Bladder	Coronary heart disease	163|54634	43|2984	1.2258947677243148	1.0077293342673916	1.4912912926429642	0.04164928
Kidney	Non-malignant CNS tumour	182|54634	2|89	2.2664098145890086	1.0313462627424868	4.980493587096972	0.04166654
All	Autonomic neuropathy	2782|54634	13|87	1.389433347005206	1.012343358119589	1.9069864095873632	0.04175581
Lymphoma	Adrenal insufficiency	193|54634	1|31	3.460904600050089	1.0464451408690005	11.446238491490423	0.04191207
Ovarian	Subarachnoid haemorrhage	117|30319	1|22	3.5291604154237723	1.046931934765394	11.89664086479998	0.04195485
Urinary	Diverticular disease	212|54634	10|409	1.4334498192880911	1.0130961329261705	2.0282165903468146	0.04200477
Digestive	Somatoform and dissociative disorders	534|54634	41|2700	1.191585770168176	1.0062964880622478	1.4109923511722064	0.04207321
Prostate	Subarachnoid haemorrhage	196|24315	2|24	2.315799536386067	1.0294397477166892	5.20955937889611	0.0423421
Breast	Dysmenorrhoea	428|30319	33|1786	1.2127675751266955	1.0063619638669827	1.4615071356900873	0.04270098
Respiratory	Adrenal insufficiency	149|54634	1|31	3.436694127939908	1.038432578267789	11.373744214302649	0.04320089
Secondary	Psoriasis	479|54634	22|1162	1.2676122338762603	1.007211720101203	1.595335661216601	0.04325434
Male genital	Tuberculosis	222|24315	5|701	0.6696293022078059	0.4534336348715256	0.9889063534123625	0.04379134
Lymphoma	Unspecified or rare diabetes	193|54634	53|7919	1.2039815224902848	1.0050274996776338	1.442320241946593	0.04396534
Haematopoietic	Hyperplasia of prostate	279|24315	37|776	1.242141616552139	1.0057733619854416	1.534059116981361	0.0440666
Solid	Non-acute cystitis	2312|54634	13|103	1.3736027051689532	1.0081526533515133	1.8715264849772708	0.04427761
Urinary	Learning disability	212|54634	2|264	2.225705624614857	1.0195175854741612	4.858930927746867	0.04458732
Cervical	Macular degeneration	137|30319	1|55	3.3679356840059924	1.0289200942020387	11.024170715994982	0.04473696
Respiratory	Liver failure and transplant	149|54634	2|84	2.2543214081113088	1.0185805495416296	4.98926178529119	0.04491819
Lung	Gastro-oesophageal reflux disease	130|54634	40|6440	1.2204089408535461	1.0043853074416453	1.4828950322949725	0.04506755
Uterine	Adrenal insufficiency	102|30319	1|21	3.383937593713824	1.026135536627499	11.159377323374569	0.04524342
Secondary	Adrenal insufficiency	479|54634	2|31	2.234813993014144	1.0160359374127739	4.915567845060194	0.04554801
Lymphoma	Type 1 Diabetes	193|54634	6|422	1.5670737081266013	1.0076688965052651	2.437030670707841	0.04616216
Ovarian	Vitiligo	117|30319	3|245	1.9006710347413003	1.0101503286246631	3.5762502668519778	0.04644665
All	Tuberculosis	2782|54634	113|1380	1.11006658498711	1.001614205429256	1.2302619276219702	0.04650805
Lymphoma	Constipation	193|54634	40|7662	1.206137373267553	1.0027913606123686	1.4507178864249275	0.04663611
Digestive	Migraine	534|54634	44|4017	1.180680538763844	1.0023184354246448	1.390782096136037	0.04684325
Digestive	Respiratory failure	534|54634	9|169	1.4471310351840778	1.0046476469633405	2.0845002119129603	0.04715512
Colorectal	Subdural haematoma	241|54634	2|48	2.3033762929471995	1.0103729094636706	5.251073437556325	0.04719484
Haematopoietic	Type 1 Diabetes	515|54634	13|422	1.3522109587134281	1.003686659071246	1.821758275193827	0.04723458
Thyroid	Hypertension	121|54634	31|9327	1.2873708012798504	1.0030142537545421	1.6523429988996994	0.04729714
Solid	Rheumatic valve disorder	2312|54634	12|79	1.3974581789749259	1.0039303436218363	1.9452438850872473	0.0473395
Male genital	Urinary calculus	222|24315	21|805	1.2757956204084664	1.0027446396457151	1.6231993677158907	0.04744508
Male genital	Glaucoma	222|24315	15|251	1.340826211896401	1.0028651366809318	1.7926786611193553	0.04778085
Kidney	Bipolar disorder	182|54634	3|235	1.8771412352899683	1.0057159943090157	3.5036324739440023	0.04793939
Bladder	Adrenal insufficiency	163|54634	1|31	3.2890540479005184	1.0107649697845698	10.70266268954341	0.04795341
Endocrine	Aplastic anaemias	164|54634	1|45	3.2567507633968265	1.0103753343615633	10.497510354988828	0.04800906
All	Gout	2782|54634	71|571	1.1437358889483626	1.001094294303571	1.3067018672586947	0.04814457
Cervical	Spondylosis	137|30319	7|872	1.5218230634185632	1.0029527508062015	2.3091271592714993	0.0483975
Kidney	Hyperparathyroidism	182|54634	2|74	2.1687717641378157	1.004484907226807	4.682570072562986	0.04867861
Urinary	Dementia	212|54634	6|129	1.6217989563261066	1.0026987149929019	2.6231527131847057	0.04872581
Lung	Atrial fibrillation and flutter	130|54634	9|316	1.45676467385686	1.0020345068061596	2.117854525550595	0.04876462
Thyroid	Obstructive and reflux uropathy	121|54634	3|459	1.867760276624531	1.003075840720423	3.477831196124746	0.04887481
